run_id,probe_id,state,created_at,model,layer,seed,metric_key,value,test_model,metric_family,metric
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:55:28+00:00,apertus,10,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5524533709293457,apertus,all,recall_at_0.1_fpr
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:55:28+00:00,apertus,10,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5391175722837266,apertus,all,recall_at_0.1_fpr
98q6shel,apertus_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:55:28+00:00,apertus,16,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5059745302424481,apertus,all,recall_at_0.1_fpr
92fyxrb6,apertus_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:55:28+00:00,apertus,16,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5143411838121432,apertus,all,recall_at_0.1_fpr
i19xd1q5,apertus_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:56:24+00:00,apertus,16,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.4727159266877759,apertus,all,recall_at_0.1_fpr
5w54hojz,apertus_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:56:24+00:00,apertus,20,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3927935840247764,apertus,all,recall_at_0.1_fpr
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:56:24+00:00,apertus,20,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.4200661011856611,apertus,all,recall_at_0.1_fpr
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:56:24+00:00,apertus,20,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.39108327362655143,apertus,all,recall_at_0.1_fpr
rjgl9oec,apertus_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:56:59+00:00,apertus,24,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.36769362331569094,apertus,all,recall_at_0.1_fpr
g0y68jcb,apertus_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:56:59+00:00,apertus,24,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3850047380220491,apertus,all,recall_at_0.1_fpr
p8vm93b7,apertus_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:56:59+00:00,apertus,24,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3638338687683454,apertus,all,recall_at_0.1_fpr
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:56:59+00:00,apertus,26,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3869461714470613,apertus,all,recall_at_0.1_fpr
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:58:28+00:00,apertus,26,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3854438717729448,apertus,all,recall_at_0.1_fpr
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:58:28+00:00,apertus,26,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3773083412300368,apertus,all,recall_at_0.1_fpr
xowhpuzx,apertus_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:58:28+00:00,apertus,28,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3936718515265676,apertus,all,recall_at_0.1_fpr
e75d9qzf,apertus_no_lora_long_form_layer28_seed43,finished,2026-03-02 14:58:28+00:00,apertus,28,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.3463609679432362,apertus,all,recall_at_0.1_fpr
ha39x6u6,apertus_no_lora_long_form_layer28_seed44,finished,2026-03-02 14:58:28+00:00,apertus,28,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.40710009938290154,apertus,all,recall_at_0.1_fpr
pk12wkry,apertus_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:58:28+00:00,apertus,30,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.0001386738160722953,apertus,all,recall_at_0.1_fpr
vhvivjkc,apertus_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:58:28+00:00,apertus,30,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.34585249728430445,apertus,all,recall_at_0.1_fpr
agskbmvs,apertus_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:58:28+00:00,apertus,30,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.2638731596828992,apertus,all,recall_at_0.1_fpr
dxwgjkjh,llama_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:45:37+00:00,llama,4,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5650847547550203,apertus,all,recall_at_0.1_fpr
e5f00gcl,llama_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:45:37+00:00,llama,4,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.5648990635859618,apertus,all,recall_at_0.1_fpr
cfx6hhoc,llama_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:45:36+00:00,llama,4,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.564182826219593,apertus,all,recall_at_0.1_fpr
kgoq3e5r,llama_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:45:36+00:00,llama,10,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6467092872111839,apertus,all,recall_at_0.1_fpr
9oem35be,llama_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:46:11+00:00,llama,10,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6464970687322599,apertus,all,recall_at_0.1_fpr
rri8v027,llama_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:46:11+00:00,llama,10,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6460991590842773,apertus,all,recall_at_0.1_fpr
egoe6db0,llama_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:46:11+00:00,llama,16,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6510862933389925,apertus,all,recall_at_0.1_fpr
x0f4o57o,llama_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:46:11+00:00,llama,16,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6421200626044513,apertus,all,recall_at_0.1_fpr
wflhsqs9,llama_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:50:44+00:00,llama,16,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6440830835344987,apertus,all,recall_at_0.1_fpr
qni919ee,llama_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:50:44+00:00,llama,20,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6362309998143089,apertus,all,recall_at_0.1_fpr
4aryhr4u,llama_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:50:44+00:00,llama,20,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6315887205878452,apertus,all,recall_at_0.1_fpr
v8qejznt,llama_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:50:44+00:00,llama,20,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6334721595882962,apertus,all,recall_at_0.1_fpr
k5b7gy5e,llama_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:50:44+00:00,llama,24,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6101811815263815,apertus,all,recall_at_0.1_fpr
jg69cqpj,llama_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:50:44+00:00,llama,24,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6048226649335491,apertus,all,recall_at_0.1_fpr
5o6iy05l,llama_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:50:44+00:00,llama,24,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6110300554420777,apertus,all,recall_at_0.1_fpr
82vjeyys,llama_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:50:44+00:00,llama,26,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6076876143990237,apertus,all,recall_at_0.1_fpr
gzg4irhz,llama_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:51:46+00:00,llama,26,43,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6049022468631456,apertus,all,recall_at_0.1_fpr
7u7entue,llama_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:51:46+00:00,llama,26,44,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6053001565111282,apertus,all,recall_at_0.1_fpr
5zoj6oqm,llama_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:51:46+00:00,llama,28,42,train/longfact_test_apertus/all_recall_at_0.1_fpr,0.6017454969891504,apertus,all,recall_at_0.1_fpr
