run_id,run_name,probe_id,state,created_at,model,layer,seed,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,apertus_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:56:24+00:00,apertus,20,43,0.4361111521720886,0.7325044196056973,0.21698776400110031,,0.4200661011856611,0.7675462313865282,0.377784872995601,,0.440173804516144,0.8528165969886055,0.6289351851851852,,0.5981519044399369,0.7258548789563044,0.21278362883410817,,0.40028330841268595,0.7623195228087261,0.42426054556327336,,0.42208231683324154,0.8415728147515787,0.6404207841887153,,0.5731849144376142
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,apertus_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:56:24+00:00,apertus,20,44,0.9805268049240112,0.7097785804895088,0.2061640537214404,,0.39108327362655143,0.7545094567459225,0.3984282095031281,,0.42140661474102664,0.8473290339030696,0.6199556541019956,,0.5665990534144693,0.7136638775270779,0.20511592308933865,,0.3870465097977493,0.7570589324338984,0.4426168728302268,,0.4190131423624774,0.8377789849446498,0.6395429630201498,,0.5590629672703107
rjgl9oec,apertus_no_lora_long_form_layer24_seed42,apertus_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:56:59+00:00,apertus,24,42,0.0074127716943621635,0.668624076141944,0.1876943658831399,,0.36769362331569094,0.7134022388278651,0.29891974731805776,,0.36626066054961054,0.8297399552349429,0.5980380569672615,,0.5566824430921794,0.6800684038488392,0.2028178860476997,,0.37595026363421735,0.7252826672018453,0.3635750177738682,,0.3789250019674195,0.8174281097536221,0.6211543144735774,,0.5369662734673534
g0y68jcb,apertus_no_lora_long_form_layer24_seed43,apertus_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:56:59+00:00,apertus,24,43,0.802904486656189,0.6732655393646854,0.2090814185452779,,0.3850047380220491,0.7297381338765004,0.3612529913919349,,0.3963528786372986,0.835295407951767,0.625503355704698,,0.584403876493126,0.6829836626947562,0.2132308985339118,,0.3867159833162824,0.7368793608732367,0.41475938291503567,,0.3942393956087196,0.8200176992287629,0.6327587539615057,,0.5583984050506728
p8vm93b7,apertus_no_lora_long_form_layer24_seed44,apertus_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:56:59+00:00,apertus,24,44,1.4770123958587646,0.6641314766859456,0.19081797255904157,,0.3638338687683454,0.7281996972925914,0.36946184485269606,,0.387778214343495,0.8303970866944326,0.6140629971364938,,0.5724588686049132,0.6791479029861602,0.20142212498290715,,0.37495868418981665,0.7404732636711796,0.432520949562939,,0.39760761784843,0.8174276993173359,0.6306372369289434,,0.0
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,apertus_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:56:59+00:00,apertus,26,42,0.022064460441470143,0.6670177726305941,0.2175095284145856,,0.3869461714470613,0.6723649946790452,0.3474862772183649,,0.3939029745533548,0.8176474139385239,0.6102060373742214,,0.5769664187514086,0.6738023828077514,0.21943093823158652,,0.3868733768788857,0.6838376003744628,0.4017663683466792,,0.3996852128747934,0.8110870464828519,0.6356324640506946,,0.0
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,apertus_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:58:28+00:00,apertus,26,43,4.096796035766602,0.6698936929266394,0.21903579827541156,,0.3854438717729448,0.672824099653761,0.35925,,0.37804793491575567,0.8159692063559093,0.6083923950950613,,0.0,0.6799530804425895,0.22484818644345972,,0.39568741638466987,0.6860977780943553,0.411768105889833,,0.3871409459353112,0.8051164855676516,0.6270504487774683,,0.0
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,apertus_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:58:28+00:00,apertus,26,44,0.0003512128023430705,0.6678283342388164,0.2112497938087645,,0.3773083412300368,0.6750514206774699,0.34716449199407234,,0.37661497214967526,0.816442135972021,0.5996109394667583,,0.5508226279017354,0.6739930132851973,0.21327218178241197,,0.3790823955300228,0.6863596516897853,0.40374767225325886,,0.3835051546391753,0.8022784807971455,0.624310239117106,,0.0
xowhpuzx,apertus_no_lora_long_form_layer28_seed42,apertus_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:58:28+00:00,apertus,28,42,0.027778860181570053,0.6679858101745226,0.2651126161600252,,0.3936718515265676,0.6645886937014613,0.4293950577390772,,0.3936718515265676,0.7873038660517809,0.6192448810510119,,0.5909398242055443,0.6801092628762144,0.25765269632384497,,0.4424647831903675,0.6758588488772196,0.4755566311713456,,0.44021405524514046,0.7888265024608037,0.6386280114332381,,0.0
e75d9qzf,apertus_no_lora_long_form_layer28_seed43,apertus_no_lora_long_form_layer28_seed43,finished,2026-03-02 14:58:28+00:00,apertus,28,43,9.128880500793455,0.6434065755760506,0.23053950454831512,,0.3463609679432362,0.6441270197331371,0.3639450867052023,,0.3463609679432362,0.785237361915302,0.6055270237221815,,0.5735857561415371,0.6613288247364254,0.2377743038212801,,0.4064373967104745,0.6615155831503243,0.42458359394908146,,0.4064373967104745,0.7895740184142594,0.6311591192355629,,0.0
