run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
w644eh9h,apertus_no_lora_bf16_only_layer30_seed44_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,30,44,3e-5,bfloat16,none,33.25065612792969,train/longfact_test_apertus/all_auc,0.553416017881787,apertus,all,auc
3618z7cg,apertus_no_lora_fp32_only_layer10_seed42_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,42,1e-3,float32,none,0.11816876381635666,train/longfact_test_apertus/all_auc,0.8253295562149812,apertus,all,auc
mhg0ycoh,apertus_no_lora_fp32_only_layer10_seed42_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,42,1e-4,float32,none,0.1332954168319702,train/longfact_test_apertus/all_auc,0.8280937427448298,apertus,all,auc
b71ik25s,apertus_no_lora_fp32_only_layer10_seed42_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,42,3e-4,float32,none,0.1127048209309578,train/longfact_test_apertus/all_auc,0.8441340959339182,apertus,all,auc
8hl54mqx,apertus_no_lora_fp32_only_layer10_seed42_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,42,3e-5,float32,none,0.15368859469890594,train/longfact_test_apertus/all_auc,0.7808221145584091,apertus,all,auc
x3sqior5,apertus_no_lora_fp32_only_layer10_seed43_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,43,1e-3,float32,none,0.29647397994995117,train/longfact_test_apertus/all_auc,0.8249237989189101,apertus,all,auc
dm4602lm,apertus_no_lora_fp32_only_layer10_seed43_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,43,1e-4,float32,none,0.2917933166027069,train/longfact_test_apertus/all_auc,0.8279400046598742,apertus,all,auc
3mcpf9f3,apertus_no_lora_fp32_only_layer10_seed43_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,43,3e-4,float32,none,0.2921086251735687,train/longfact_test_apertus/all_auc,0.8435093124813688,apertus,all,auc
0v0cghh6,apertus_no_lora_fp32_only_layer10_seed43_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,43,3e-5,float32,none,0.27485892176628113,train/longfact_test_apertus/all_auc,0.7788121215343744,apertus,all,auc
k8u6gf39,apertus_no_lora_fp32_only_layer10_seed44_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,44,1e-3,float32,none,0.09856606274843216,train/longfact_test_apertus/all_auc,0.8194290955749719,apertus,all,auc
rgnn8edm,apertus_no_lora_fp32_only_layer10_seed44_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,44,1e-4,float32,none,0.4017370939254761,train/longfact_test_apertus/all_auc,0.826881857961412,apertus,all,auc
1hlg6mhh,apertus_no_lora_fp32_only_layer10_seed44_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,44,3e-4,float32,none,0.3334559202194214,train/longfact_test_apertus/all_auc,0.8406088499891392,apertus,all,auc
h32xr3bj,apertus_no_lora_fp32_only_layer10_seed44_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,10,44,3e-5,float32,none,0.6063321232795715,train/longfact_test_apertus/all_auc,0.7818781094432283,apertus,all,auc
7otuls41,apertus_no_lora_fp32_only_layer20_seed42_lr1em3,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,42,1e-3,float32,none,0.0014074433129280806,train/longfact_test_apertus/all_auc,0.7331975734143705,apertus,all,auc
h3hhroh2,apertus_no_lora_fp32_only_layer20_seed42_lr1em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,42,1e-4,float32,none,0.005417922046035528,train/longfact_test_apertus/all_auc,0.717574397856799,apertus,all,auc
gbg3qolw,apertus_no_lora_fp32_only_layer20_seed42_lr3em4,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,42,3e-4,float32,none,0.012795637361705303,train/longfact_test_apertus/all_auc,0.7280038483278114,apertus,all,auc
vpc4pmw1,apertus_no_lora_fp32_only_layer20_seed42_lr3em5,finished,2026-03-16 18:21:39+00:00,apertus,fp32_only,20,42,3e-5,float32,none,0.4815448522567749,train/longfact_test_apertus/all_auc,0.6916808499621875,apertus,all,auc
