run_id,run_name,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
5xzqhvy4,apertus_no_lora_bf16_only_layer10_seed42_lr3em4,apertus_no_lora_bf16_only_layer10_seed42_lr3em4,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,10,42,3e-4,bfloat16,none,0.11626026779413225,0.8489650493091135,0.28498293515358364,,0.5777382300598609,0.8259093842049676,0.4580316079939794,,0.5247417200175654,0.8652076357372434,0.6246253746253746,,0.6215911652017129,0.8378000023734065,0.27968918356526745,,0.5369953568899032,0.8161184693467126,0.5222204481345468,,0.5013457149602581,0.8551964061266443,0.6470030185424752,,0.5972752948994849
83kur7ka,apertus_no_lora_bf16_only_layer10_seed42_lr3em5,apertus_no_lora_bf16_only_layer10_seed42_lr3em5,finished,2026-03-16 01:21:45+00:00,apertus,bf16_only,10,42,3e-5,bfloat16,none,0.4366786777973175,0.7073010007607247,0.1625865309677715,,0.35128388841380265,0.691882888080045,0.2622132677769357,,0.29035985855270763,0.7575235691107287,0.4991952172913313,,0.38764931259860264,0.7061787326491475,0.1677728975765825,,0.3398913984418037,0.6866878830405123,0.29196581196581195,,0.2701188321397655,0.7512699202717886,0.5272459499263623,,0.3784681840837349
j9k3f0jm,apertus_no_lora_bf16_only_layer10_seed43_lr1em3,apertus_no_lora_bf16_only_layer10_seed43_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,43,1e-3,bfloat16,none,0.3009301424026489,0.8273348693791714,0.280424396372273,,0.551621328032912,0.8287938741777823,0.4978915319363715,,0.5445489634132249,0.8683901811378919,0.6400980993255672,,0.6339869281045751,0.8198621120468573,0.26584616620153795,,0.5144565987251122,0.8183590636717126,0.548321306927003,,0.5123160462737074,0.8585940179711911,0.6568627450980392,,0.6074098687489616
ougxjsfh,apertus_no_lora_bf16_only_layer10_seed43_lr1em4,apertus_no_lora_bf16_only_layer10_seed43_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,43,1e-4,bfloat16,none,0.27749955654144287,0.8101206463277887,0.2441553067745569,,0.505489171886195,0.7828584314035001,0.374361143421099,,0.4419072272170476,0.8319190195766701,0.5850006137228427,,0.5478927203065134,0.803238457116773,0.24403045184088137,,0.4842842527740616,0.7764932633591703,0.4273121239350751,,0.4209805618950185,0.8225518291341378,0.6089399744572158,,0.5230104668549593
21sy8y12,apertus_no_lora_bf16_only_layer10_seed43_lr3em4,apertus_no_lora_bf16_only_layer10_seed43_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,43,3e-4,bfloat16,none,0.2755349278450012,0.8494167790032243,0.2828549527297504,,0.580742829408094,0.8253201035616345,0.4494214764192435,,0.5285090253541961,0.8658808116456893,0.6170566423730981,,0.623394185260311,0.8404217596907435,0.28000819216477957,,0.5446604233886834,0.8149485006984888,0.5138249095340871,,0.5006059652160226,0.8533199066280759,0.6384696384696384,,0.5873068616049177
t26a4uwp,apertus_no_lora_bf16_only_layer10_seed43_lr3em5,apertus_no_lora_bf16_only_layer10_seed43_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,43,3e-5,bfloat16,none,0.3126707673072815,0.7112373805685943,0.16289710763394974,,0.3557214505281161,0.6915207715889617,0.25550349546333484,,0.2889268957866272,0.7566466921713147,0.4965197215777262,,0.38764931259860264,0.7095299051432804,0.16882525877823443,,0.34396789171322895,0.6855966535778534,0.2868610003068426,,0.269426300464311,0.7503966740027002,0.5246499295716298,,0.37597607576009306
p9n6ul1e,apertus_no_lora_bf16_only_layer10_seed44_lr1em3,apertus_no_lora_bf16_only_layer10_seed44_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,44,1e-3,bfloat16,none,0.15629735589027405,0.8236520381680573,0.27254262120404904,,0.5385628770194374,0.8287874876835296,0.5178167555000237,,0.537291700372108,0.8692599477431413,0.6497096399535424,,0.6326346630606265,0.8122490244275065,0.25751148898128706,,0.4999449122530889,0.8160453213783301,0.561858707357214,,0.5074368458330054,0.8565357762717278,0.6594691127526585,,0.6054161820900482
feljklm1,apertus_no_lora_bf16_only_layer10_seed44_lr1em4,apertus_no_lora_bf16_only_layer10_seed44_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,44,1e-4,bfloat16,none,0.593794047832489,0.8104849144517552,0.2494945631386263,,0.5101578570272957,0.7851279894338004,0.39504421103632054,,0.4479626505188712,0.8324851387588541,0.5950772200772201,,0.5573585756141537,0.8033457695868185,0.24920163180920385,,0.48856535767687104,0.7769949434329743,0.4499050200513225,,0.4269929959864642,0.8226005190387408,0.6106755629691409,,0.5263332779531483
lfafy2oe,apertus_no_lora_bf16_only_layer10_seed44_lr3em4,apertus_no_lora_bf16_only_layer10_seed44_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,44,3e-4,bfloat16,none,0.2656649947166443,0.8465435938959277,0.288232417098699,,0.574386946171447,0.8287402046466776,0.4831917615033944,,0.5334319458247625,0.8660531468635746,0.625,,0.620464277665089,0.8354659203722793,0.2774056685044797,,0.5345714960258126,0.8191413007207186,0.5399044305654525,,0.5119540410797199,0.8553855007108857,0.6477301982322149,,0.5957800299052999
r3oezlrl,apertus_no_lora_bf16_only_layer10_seed44_lr3em5,apertus_no_lora_bf16_only_layer10_seed44_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,10,44,3e-5,bfloat16,none,0.7305357456207275,0.7121733771677046,0.16567213268806089,,0.35796334388795154,0.6928459141620072,0.2613352109544368,,0.29105322763306907,0.7580237027850111,0.49884098284654615,,0.392156862745098,0.7107624090919588,0.17069203929126694,,0.34755646494058395,0.6877298141672809,0.2917534105660193,,0.27298339497914537,0.752209495071552,0.5289065080938222,,0.3849476657252035
